008c00b7-6855-4c97-aa53-8134cc159d4c	4	204605-204689
00b8cc0b-0138-4938-bbe5-e1b627533cd2	4	204689
01370dfd-15fb-4a71-8133-88b3209b597b	4	204605,204689
01a569fd-85a3-4266-9489-dc9704a0689c	4	204605-204689
01f9e2dd-34eb-4e6e-97f7-0f7b28b405bc	4	204605-204689
034fab8e-3a43-4441-92c9-7dc2c52dc25b	4	204605,204689
03b325da-f32e-4e6e-ab69-8336d676df20	4	204605
03b4c826-ee0d-4cb3-a467-6cd447f039cb	4	204605,204689
03dd5106-1260-4ea1-a95e-2c7e608fed6e	4	-204605,204689
03f3db32-49ef-4f99-aa7b-1240b47ed8dc	4	204605-204689
041ea106-854b-4b23-a12c-e27ad1c5aa92	4	204689
046e553a-4997-4cef-bb4c-27501f3203b0	4	204605
05100a21-c8a7-4884-8bff-60c12d7bad8b	4	204605,204689
05612550-04ca-4531-b0e5-f761ef33c67c	4	204605-204689
058bfb9e-ec87-4d35-bd6c-ff32ccefb342	4	204689
05dc147d-0277-69b2-4945-0b54367639c0	4	204605
